names,actual utr
Anton Stendal,11.9
David Saye,11.9
Jerry Barton,11.9
Conrad Brown,11.9
Geni Inoue,11.9
Filippo Romano,11.89
Stian Klaassen,11.89
Gabriel Generoso,11.89
Chase Thompson,11.89
Adriano Dzhenev,11.88
German Mingaleev,11.88
Ajay Malik,11.88
Michael Nicholls,11.88
Paul Werren,11.88
Daniel Cohen,11.88
Bryce Nakashima,11.88
Nishant Dabas,11.88
Pablo Trochu,11.87
Giacomo Nosei,11.87
Reece Yakubov,11.87
Vladimir Popov,11.87
Danil Panarin,11.86
Gabriel Constantino,11.86
Adria Pol Torres,11.86
Aljaf Jeran,11.86
Arslan Temirhanov,11.86
Brayden Michna,11.86
Patrik Jurina,11.85
Luc Boulier,11.85
Daniel Verbeek,11.85
Eric Li,11.85
Attila Boros,11.85
Matt Rankin,11.85
Jake Christopher Vassel,11.85
Juan Diego Rojas,11.85
Mikail Alimli,11.85
Roy Horovitz,11.84
Pol Del Castillo,11.84
Ainius Sabaliauskas,11.84
Romain Gales,11.84
Aman Dahiya,11.84
Will Mayew,11.84
Joe Misrahi,11.84
Alejandro Bancalari,11.84
Chuan Yu Ciou,11.83
Jan Kobierski,11.83
Toky Nicolas Ranaivo,11.83
Oliver Ojakaar,11.83
Dogeon Park,11.83
Carl Roothman,11.83
Photos Photiades,11.82
Lincoln Battle,11.82
Kurt Miller,11.82
Nikita Filin,11.82
Aleksei Mokrov,11.82
Yamato Sueoka,11.82
Yua Taka,11.82
Jangjun Kim,11.81
Benito Massacri,11.81
Samer Al Tori,11.81
Hans Bustiman,11.81
Boyeni Keenan,11.81
Alexander Aney,11.81
Maxence Rivet,11.81
Sebastian Sorger,11.81
Jan Hrazdil,11.81
Quang Duong,11.81
Mitchell Lee,11.81
Woohyuk Sim,11.81
Gregor Hausberger,11.8
Giammarco Gandolfi,11.8
Marko Jovanovic,11.8
Abraar Iqbal,11.8
Ye Hongyu,11.8
Chad Miller,11.8
Ce´sar Bouchelaghem,11.8
Gal Emeršič Potočnik,11.8
Carlos Gimenez Perez,11.8
Reiya Komagata,11.79
Cooper White,11.79
Ethan Dunn,11.79
Luke Connor Heron,11.79
Artem Cherepin,11.79
Michael Minasyan,11.79
Jiri Jindacek,11.78
Edvards Liepins,11.78
Frederic Vögeli,11.78
Ilya Lebedev,11.78
Francisco Pini,11.77
Luc Koenig,11.77
Egor Khotchenkov,11.77
Kaylan Bigun,11.77
Albert Saar,11.77
Peter Buldorini,11.77
Nathan Mao,11.77
Florian Armand,11.77
Fran Mitrovic,11.77
Emilio Vila,11.77
Jose Migue Fernandez Martinez,11.76
Pierre Humayou,11.76
Maciej Kos,11.76
Dion Loutas,11.76
Juan David Velasquez,11.76
Maximus Jones,11.76
Cesar Bouchelaghem,11.76
Andrei Leonov,11.75
Luis Francisco,11.75
Marko Mesarovic,11.75
Alexander Knox-jones,11.75
Filip Apltauer,11.75
Karol Tomański,11.75
William Jansen,11.75
Josh Portnoy,11.75
Francisco Tomas Geschwind,11.74
Patryk Stokowski,11.74
Jannik Maute,11.74
Lucca Liu,11.74
Alexandre Gluck,11.74
Daniel Torres Muñoz,11.74
Vit Kalina,11.74
Sam Landau,11.74
Dragos Nicolae Cazacu,11.74
Herrick Thomas Legaspi,11.74
Joseph Phillips,11.73
Chase Fralick,11.73
Sachin Palta,11.73
Gleb Kuharev,11.72
Jacco Arends,11.72
Andrin Casanova,11.72
Marco Migliorati,11.72
Vladislav Gorbatenko,11.72
Joel Schwaerzler,11.71
Karan Singh,11.71
Dylan Charlap,11.71
Leanid Boika,11.71
Agustin Cuellar,11.71
Abderrahman Wissam,11.71
Nicolas Colne,11.71
Carlos Guerrero Alvarez,11.7
Evangelos Kypriotis,11.7
Iker Urribarrens Ramirez,11.7
Matthias Ujvary,11.7
Nathaniel Webster,11.7
Georgios Nouchakis,11.7
Nacho Serra Sanchez,11.69
Lambert Ruland,11.69
Daan Van Dijk,11.69
Ryan Cahill,11.69
Cooper Errey,11.69
Alan Jesudason,11.69
Michal Krajci,11.69
Zamaan Moledina,11.68
Hugo Salmeron,11.68
Stepan Mruzek,11.68
Luca Hotze,11.68
Aarush Ganji,11.68
Billy Blaydes,11.68
Tiago Pires,11.68
Viktor Markov,11.68
Kauã Gava,11.68
Gustav Hasslegren,11.68
Andre Steinbach,11.68
Patrick Schoen,11.68
Arslanbek Temirhanov,11.68
Luka Butera,11.68
Mitchell Deames,11.68
Owen Megargee,11.68
Edward Tymes,11.68
Alen Mujakic,11.67
Roan Jones,11.67
Youssef Labbene,11.67
Kabeer Kapasi,11.67
Dusan Baranec,11.67
Andrew Delgado,11.67
Hardy Owen,11.67
Etienne Marty,11.67
Tin Ostro,11.66
Timofey Stepanov,11.66
Piotr Kusiewicz,11.66
Alex Koong,11.66
Charlie Camus,11.66
Ryan Morgan,11.65
Nikolay Sysoev,11.65
Markus Giersiepen,11.65
Oldrich Vejsicky,11.65
Jordi Domenech Castillo,11.65
Lorenzo Sciahbasi,11.65
Jan Dimitrijevič,11.65
Sasha Rozin,11.65
Erik Kovacs,11.65
Arthur Macquart,11.65
Harry Lazell,11.65
Matej Dodig,11.64
Sergio Callejon Hernando,11.64
Guangsen Wen,11.64
Josef Zapletal,11.64
Enrique Peña,11.64
Nate Bonetto,11.64
Ekansh Kumar,11.64
Oliver Olsson,11.64
Samuel Frizelle,11.64
Nicolas Kobelt,11.64
Karim Al-amin,11.64
Jakub Prachar,11.63
Martin Benes,11.63
Matthew Burton,11.63
Hyeondeok Yoon,11.63
Jeffrey Etterbeek,11.63
Youssef Sadek,11.63
Maximilian Wuelfing,11.63
Filippos Astreinidis,11.63
Mark Havlicek,11.62
Ivan La Cava,11.62
Mirko Lagasio,11.62
Norbert Marosik,11.62
Luka Jovanovic,11.62
Danilo Raicevic,11.62
Seonung Cho,11.62
Eddie Vo,11.62
Fernando Perez Rodenas Herrer,11.62
Hady El Kordy,11.62
Adrian Dibildox,11.61
Nicolas Villalon,11.61
Theo Papamalamis,11.61
Nemanja Stefanovic,11.61
Miko Wassermann,11.61
Robert Bauer,11.61
Garen Spicka,11.61
Zach Viiala,11.61
Jonasz Dziopak,11.6
Aleksander Chayka,11.6
Taym Alazmeh,11.6
Nicolas Niã±o Mendoza,11.6
Zoran Ludoski,11.6
Aman Sharma,11.6
Sami Ozzor,11.6
Radovan Michalik,11.6
Shuannon Tricerri,11.6
Juan Jose Vargas,11.59
Michael Choi,11.59
Theodoros Mitsakos,11.59
Wadym Konowczuk,11.59
Harry Rock,11.59
Manuel Mouilleron Salvo,11.58
Santiago Navarro,11.58
Florent Limani,11.58
Evan Lee,11.58
Chase Robinson,11.57
Santiago Arredondo,11.57
Žiga Švec,11.57
William Bartram,11.57
Jb Pickard,11.57
Sean Joseph,11.57
Robin Beillan,11.57
Patrick Jozwicki,11.57
Felipe Lopez Comper,11.57
Sandro Szic Domingo,11.57
Connor Smillie,11.57
Alen Bill,11.56
Gunuk Kang,11.56
Azariah Rusher,11.56
Min Jae Kim,11.56
Karol Tomanski,11.56
Ryan Xiao,11.56
Luca Pow,11.56
Phoenix Weir,11.56
Eskander Guryev,11.55
Hyeoung Jin Kim,11.55
Abdurahman Saidmuhamedov,11.55
Atakan Karahan,11.55
Davis Taylor,11.55
Lukas Janousek,11.55
Michael Bassem Sobhy,11.54
Alexandr Achour,11.54
Dylan Tsoi,11.54
Freek Van Donselaar,11.54
Emilien Demanet,11.54
Walker Oberg,11.54
Simon Malis,11.54
Kaj Quirijns,11.54
Kenta Miyoshi,11.53
Thomas Kennedy,11.53
Alejandro Juan Mano,11.53
Gabriel Elicha Navas,11.53
Diego Duran,11.53
Luke Bracks,11.53
Alejo Sánchez Quilez,11.53
Deacon Thomas,11.53
Louis Bowden,11.52
Connor Kruger,11.52
Luca Van Den Berg,11.52
Daniel Phillips,11.52
Ivan Sodan,11.52
Jules Leroux,11.52
Jonatan Sztasak,11.52
Noah Zamora,11.52
Leon Nikolic,11.52
Pedro Cardoso,11.52
Mihailo Savic,11.52
Fernando Bulnes Garrorena,11.51
Ben Weintraub,11.51
Adamantios Stavrakas,11.51
Luke Amet,11.51
Juanjo Rodriguez Garceran,11.51
Cooper Woestendick,11.51
Ben Hudson,11.5
Marc Majdandzic,11.5
Jack Loutit,11.5
Omar Suarez Berrezueta,11.5
Yeray Andres Pastor,11.5
Goran Zgola,11.5
Venedikt Tsirikidze,11.5
Ian Rasheed,11.5
Credit Chaiyarin,11.5
Eric David Verdes,11.49
Artur Khairutdinov,11.49
Radomir Tomic,11.49
Maximilian W Uelfing,11.49
Pablo Perez Ramos,11.49
Noah Hernandez,11.49
Ivan Penev,11.49
Yoni Yehonathan Bidny,11.49
Andy Nguyen,11.49
Eli Wood,11.48
Jayanth Devaiah,11.48
Shinnosuke Iwamoto,11.48
Tristan Stringer,11.48
Victor Bini,11.48
Mikaeel Woodman,11.48
Volodymyr Iakubenko,11.47
Siwanat Auytayakul,11.47
Giuseppe Bonaiuti,11.47
Simon Myslivec,11.47
Braden Hannig,11.47
Krishan Hooda,11.47
Fatih Sari,11.47
Julian Desousa,11.47
Carson Baker,11.47
Lucas Britez,11.47
Guillaume Henchoz,11.47
Maximillian Relic,11.47
Tristan Piombo,11.47
Adam Kresina,11.47
Vasileios Voltirakis,11.47
Adhithya Ganesan,11.47
Jan Kopcik,11.46
Tomasz Berkieta,11.46
Leo Caill,11.46
Mattia Ricci,11.46
Dylan Chang,11.46
Henrique Petiz,11.46
James Van Herzeele,11.46
Pavel Lagutin,11.46
Dusan Rsovac,11.46
Dario Alexandru Ciobotaru,11.45
Suphawat Saeoui,11.45
He Ziheng,11.45
Zachary Pellouchoud,11.45
Alexander Orlov,11.45
Jakub Kroslak,11.45
Hugo Coquelin,11.45
Saveliy Ivanov,11.44
Francisco Sinopoli,11.44
Adhvyte Sharma,11.44
Aj Moore,11.44
Samuel Macleod,11.44
Pol Masafret Hernandez,11.44
Olle Noltorp,11.44
Joan Torres Espinosa,11.44
Kane Bonsach Ganley,11.44
Elijah Cham,11.44
Semen Voronin,11.43
Alejandro Melero,11.43
Alejandro Licea,11.43
Matei Cristian Onofrei,11.43
Safar Rasulov,11.43
Lorenzo Ferri,11.43
Gauthier Charollais,11.43
Philippe Renard,11.43
Taras Ignatiuk,11.43
Matous Otypka,11.43
Lukas Velik,11.43
Richard Biagiotti,11.43
Marsel Fnuderl,11.43
Nicholas Herdoiza,11.43
Gauthier Prince,11.42
Justin Lyons,11.42
Thomas Cardona,11.42
Clement Kubiak,11.42
Kyle Overmyer,11.42
Tristan Sarap,11.42
Jack Brown,11.42
Marcal Miret Avante,11.42
Andy Hernandez,11.42
Eric Padgham,11.41
Alan Ton,11.41
Jakub Filip,11.41
Enrico Baldisserri,11.41
Miguel Avendano Cadena,11.41
Tristan Messerli,11.41
Anro Nel,11.41
Nikola Jovanovic,11.41
Tuncay Duran,11.41
William Wang,11.41
Sandeep Vengatesan Mohandoss,11.41
Lachlan Brain,11.41
Leon Berg,11.4
Marko Milosavljevic,11.4
Tanner Povey,11.4
Ethan Gaubert,11.4
Andreas Scott,11.4
Eduardo Gonzalez,11.4
Jason Shuler,11.4
Jakub Jupa,11.4
Vuk Radjenovic,11.4
Ari Cotoulas,11.4
Ondrej Kratochvil,11.39
Ethan Cook,11.39
Stefan Skobelev,11.39
Robinson Le Meur,11.39
Victor Alves,11.38
James Edley,11.38
Peter Hatton,11.38
Lun Obrul,11.38
Till Brunner,11.38
Andrii Zimnokh,11.38
Xavier Sarda Marti,11.38
Matyas Alan,11.38
Naoya Honda,11.38
Alvaro Peiro Serrano,11.38
Ajay Mahenthiran,11.38
Miles Groom,11.38
Ali Yazdani,11.37
Jack Loge,11.37
Felipe Pinzon,11.37
Tom Calcara,11.37
Reda Bennani,11.37
Paris Pouatcha,11.37
Daniel Antov,11.37
David Naharro Gomez,11.37
Juan David Duque Ramirez,11.37
Tristan Reiff,11.37
Raffaello Papajcik,11.37
Greyson Casey,11.37
Tanguy Lominet,11.36
Mateo Matulovich,11.36
Mikhail Dubrouski,11.36
Pranav Suhas Nemani,11.36
Mujtaba Ali-khan,11.36
Nikhil Niranjan,11.36
Kerem Ozlale,11.36
George Lazarov,11.36
John Chin,11.36
Toprak Avcibasi,11.36
